Lon_DDD,Lat_DDD,sites
115.7031,-32.19113333,CENTRALBUOY
115.6973167,-32.15856667,NORTHBUOY
115.7274814,-32.25089973,SOUTHBUOY
115.7285,-32.167083,Northern_Basin
115.759222,-32.184083,Spoil_Grounds
115.769972,-32.197278,Western_Power
115.762214,-32.201505,Westport_S01_a
115.762299,-32.201542,Westport_S01_b
115.762299,-32.201542,Westport_S01_c
115.76271,-32.200942,Westport_S01_d
115.726147,-32.18067,Westport_S02_a
115.72615,-32.180463,Westport_S02_b
115.718228,-32.168981,Westport_S02_c
115.730832,-32.180925,Westport_S02_d
